表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2020100000,2020年度,2201,青森県 青森市,,342453121,,123323,
2020100000,2020年度,2202,青森県 弘前市,,196119221,,69562,
2020100000,2020年度,2203,青森県 八戸市,,290108026,,101819,
2020100000,2020年度,2204,青森県 黒石市,,31083447,,13572,
2020100000,2020年度,2205,青森県 五所川原市,,52638456,,20946,
2020100000,2020年度,2206,青森県 十和田市,,73804815,,26850,
2020100000,2020年度,2207,青森県 三沢市,,55366021,,18508,
2020100000,2020年度,2208,青森県 むつ市,,65999258,,24011,
2020100000,2020年度,2209,青森県 つがる市,,26916145,,11507,
2020100000,2020年度,2210,青森県 平川市,,27542301,,11932,
2020100000,2020年度,2301,青森県 平内町,,11728347,,4493,
2020100000,2020年度,2303,青森県 今別町,,1739670,,759,
2020100000,2020年度,2304,青森県 蓬田村,,2416941,,1047,
2020100000,2020年度,2307,青森県 外ヶ浜町,,4772529,,1899,
2020100000,2020年度,2321,青森県 鰺ヶ沢町,,7566315,,3208,
2020100000,2020年度,2323,青森県 深浦町,,5556777,,2551,
2020100000,2020年度,2343,青森県 西目屋村,,943580,,438,
2020100000,2020年度,2361,青森県 藤崎町,,14085354,,5989,
2020100000,2020年度,2362,青森県 大鰐町,,7123754,,3332,
2020100000,2020年度,2367,青森県 田舎館村,,7009640,,3101,
2020100000,2020年度,2381,青森県 板柳町,,10895677,,4820,
2020100000,2020年度,2384,青森県 鶴田町,,10247922,,4376,
2020100000,2020年度,2387,青森県 中泊町,,9082722,,3763,
2020100000,2020年度,2401,青森県 野辺地町,,14163987,,5568,
2020100000,2020年度,2402,青森県 七戸町,,15136494,,6024,
2020100000,2020年度,2405,青森県 六戸町,,11820259,,4532,
2020100000,2020年度,2406,青森県 横浜町,,4680555,,1736,
2020100000,2020年度,2408,青森県 東北町,,16853598,,6765,
2020100000,2020年度,2411,青森県 六ヶ所村,,16442096,,5088,
2020100000,2020年度,2412,青森県 おいらせ町,,29244840,,11018,
2020100000,2020年度,2423,青森県 大間町,,5721412,,1925,
2020100000,2020年度,2424,青森県 東通村,,6738060,,2423,
2020100000,2020年度,2425,青森県 風間浦村,,1399082,,613,
2020100000,2020年度,2426,青森県 佐井村,,1512798,,634,
2020100000,2020年度,2441,青森県 三戸町,,8716871,,3747,
2020100000,2020年度,2442,青森県 五戸町,,16234781,,6620,
2020100000,2020年度,2443,青森県 田子町,,4757575,,2016,
2020100000,2020年度,2445,青森県 南部町,,16402049,,6858,
2020100000,2020年度,2446,青森県 階上町,,14546416,,5803,
2020100000,2020年度,2450,青森県 新郷村,,1755113,,769,
2020100000,2020年度,3201,岩手県 盛岡市,,436595032,,137376,
2020100000,2020年度,3202,岩手県 宮古市,,55329053,,21274,
2020100000,2020年度,3203,岩手県 大船渡市,,41703759,,15442,
2020100000,2020年度,3205,岩手県 花巻市,,111796774,,42637,
